,Alert,IQR,Kurto,Entro,Skewn,Sex,Comp,Picos,Umbral,Gama
1179,FALSE,2.0917,4.9383,1.6035,1.7911,Hombre,Robust,3,17.7728,Media
1180,FALSE,2.3318,5.38267,1.6566,1.8828,Hombre,Robust,3,17.0146,Media
1181,FALSE,2.8513,4.6977,1.5427,1.5423,Hombre,Robust,3,17.9756,Media
1182,FALSE,3.5571,7.43846,1.5798,2.1911,Hombre,Robust,3,17.8455,Media
1183,FALSE,3.2982,6.88889,1.5926,2.1942,Hombre,Robust,3,17.6371,Media
1184,FALSE,2.3973,10.5241,1.3978,2.5193,Hombre,Robust,1,34.4264,Media
1185,FALSE,1.064,9.37493,1.2151,2.3189,Hombre,Robust,2,18.6087,Media
1186,FALSE,1.7695,13.138,1.1898,3.1316,Hombre,Robust,2,30.022,Media
1187,FALSE,1.542,8.8314,1.3639,2.2078,Hombre,Robust,2,20.2305,Media
1188,FALSE,1.3148,10.2085,1.2987,2.2594,Hombre,Robust,1,23.3948,Media
1189,FALSE,1.8617,12.2134,1.3451,2.7469,Hombre,Robust,2,25.0273,Media
1190,FALSE,1.6347,10.0764,1.3448,2.2591,Hombre,Robust,2,24.0312,Media
1191,FALSE,0.5446,31.336,0.7784,4.4639,Hombre,Robust,2,17.6337,Alta
1192,FALSE,0.8021,26.1422,0.832,3.8314,Hombre,Robust,1,51.4429,Alta
